Lugar,Estrellas,Comentario,Tiempo,Red_Social,,,,,
Riviera Nayarit,5,"La playa de Hard Rock y Occidental estÃ¡ limpia, no tiene olas, puedes pisar siempre. Esta muy bien, para meterte al mar del pacifico. El agua estÃ¡ tibia. ",2 años,maps,,,,,
Riviera Nayarit,5,"El lugar Flamingo fabuloso.con grandes jardines y albercas ,la playa con palapas y una playa amplia y limpia.",6 años,maps,,,,,
Riviera Nayarit,5,"Es una muy buena playa, tiene buena extensiÃ³n, el mar y la arena estÃ¡ limpia. Normalmente no se llena demasiado",1 año,maps,,,,,
Riviera Nayarit,5,"Estuvimos en la playa de nuevo Vallarta una semana, todos los dÃ­as la playa maravillosa, limpia, cÃ¡lida, un verdadero regalo!",3 años,maps,,,,,
Riviera Nayarit,5,"La playa de Vallarta es excelente, el agua estÃ¡ tibia y prÃ¡cticamente no hay piedras las olas estÃ¡n divertidas y el clima prÃ¡cticamente siempre estÃ¡ Perfecto",5 años,maps,,,,,
Riviera Nayarit,5,"Estuvimos en la parte pÃºblica, estÃ¡ limpio el lugar y estÃ¡ agradable la zona falta un poco del vendedor ambulante yo creo la mayorÃ­a estÃ¡ en la zona privada ",4 años,maps,,,,,
Riviera Nayarit,5,"Estuvimos en la parte pÃºblica, estÃ¡ limpio el lugar y estÃ¡ agradable la zona falta un poco del vendedor ambulante yo creo la mayorÃ­a estÃ¡ en la zona privada ",2 años,maps,,,,,
Riviera Nayarit,5,"Gran ambiente, un lugar muy saludable y muy, bonitas zonas. Un lugar muy tranquilo, de noche hermosa, gran playa. ",6 años,maps,,,,,
Riviera Nayarit,5,Las playas estÃ¡n limpias y tienen mucha vigilancia de seguridad y salvavidas.,1 año,maps,,,,,
Riviera Nayarit,5,EstÃ¡ perfecto.,3 años,maps,,,,,
Riviera Nayarit,5,"Magnifico mantenimiento, mucha seguridad, limpieza y atencion por parte de los hoteles, respeto a tu lugar donde te ubiques ",2 años,maps,,,,,
Riviera Nayarit,5,pudimos estar ahi cuando se ocultaba el sol y es perfecto. todo el maravilloso en ese lugar. estamos encantados con nuestra visita,4 años,maps,,,,,
Riviera Nayarit,5,"Es una playa sin piedras y sin sargazo, tiene un oleaje muy tranquilo por lo que los niÃ±os pueden disfrutar junto a sus hijos y la temperatura del mar es muy agradable.",5 años,maps,,,,,
Riviera Nayarit,5,"Muy amplia, muy tranquila, sin vendedores y sin rocas, lo cual es un problema muy frecuente en el area. ",6 años,maps,,,,,
Riviera Nayarit,5,Fuimos a comer por el DÃ­a del padre al seÃ±or frica y a pasear por el malecÃ³n,3 años,maps,,,,,
Riviera Nayarit,5,En general muy bien cuidada el Area ,2 años,maps,,,,,
Riviera Nayarit,5,Buen tiempo playa muy agradable para disfrutar todo el dÃ­a Limpia se aprecia delfines muy temprano La arena muy suave,4 años,maps,,,,,
Riviera Nayarit,4,"La playa muy bonita, el agua riquisima, excelente para caminar por la orilla. No muy brava ideal para baÃ±arse",1 año,maps,,,,,
Riviera Nayarit,3,"Es temporada baja de ahÃ­ que somos muy pocos turistas, sin embargo hay muy buen ambiente, la playa limpia y los salvavidas muy atentos.",5 años,maps,,,,,
Riviera Nayarit,4,Es la segunda vez que vamos y me encanta la playa esta limpia se respeta a la flora y la fauna por que vimos nacer tortugas! por favor no lo descuiden ni lo sobre exploten es un paraiso que hay que conservar igual de bonito.,3 años,maps,,,,,
Riviera Nayarit,5,"Mucho sol, no nos llovio nunca. precios en general similares a Argentina. Cultura atractiva. Gatronomia interesante en pescados y mariscos. ",4 años,maps,,,,,
Riviera Nayarit,5,El mar se disfruta mucho para hacer deportes o bien solo nadar un poco . En la playa la arena es gris finita y deliciosa para tirarse y tomar algo de sol.. los hoteles procuran su limpieza ,2 años,maps,,,,,
Riviera Nayarit,5,"La playa es muy Bonita y muy limpia, el clima es magnÃ­fico, y claro que regresarÃ­a se las recomiendo mucho quede impresionada!",6 años,maps,,,,,
Riviera Nayarit,5,"Me parece una playa bastante agradable para nadar o jugar con los niÃ±os, bastante limpia y tranquila, incluso me tocÃ³ que el oleaje estuvo alto por el clima, nublado y con lluvia y aÃºn asÃ­ estuvo genial, super padre. ",1 año,maps,,,,,
Riviera Nayarit,5,"VisitÃ³ seguido a esta zona, playas de bahÃ­a de Banderas y sin duda Nuevo Vallarta es la mejor , mar tranquilo agua limpia, en genera excelente ",3 años,maps,,,,,
Riviera Nayarit,5,"Una playa super tranquila y limpia, en la estancia que tuvimos ahÃ­, cada 5 minutos o 10 pasaba alguna persona limpiando la playa.",5 años,maps,,,,,
Riviera Nayarit,5,"Mis respetos para el cuidado que han tenido en la limpieza en la playa , no vimos basura, el personal estaba muy al pendiente",4 años,maps,,,,,
Riviera Nayarit,5,Es una playa excelente para poder ver un hermoso atardecer y una tarde tranquila en compaÃ±Ã­a de tus seres queridos.,2 años,maps,,,,,
Riviera Nayarit,5,"La playa prÃ¡cticamente sÃ³lo tiene acceso por medio de los hoteles, por lo que es casi privada",6 años,maps,,,,,
Riviera Nayarit,5,"Un lugar excelente para descansar sin ambulantes y con playas limpias, oleaje moderado y sin piedras. ",1 año,maps,,,,,
Riviera Nayarit,5,"Esta es mi playa favorita para disfrutar con tranquilidad del mar, creo que es perfecta para pasear y disfrutar en familia con niÃ±os pequeÃ±os ya que el mar estÃ¡ limpio y es tranquilo",3 años,maps,,,,,
Riviera Nayarit,5,bonita playa limpia muy agradable marea moderada excelente para convivir en pareja o en familia o con amigos,2 años,maps,,,,,
Riviera Nayarit,5,"Me encanto la playa, muy tranquila, el agua es mas limpia y vale la visita. Agua mas calma y limpia.",4 años,maps,,,,,
Riviera Nayarit,5,"Playa amplia, limpia, oleaje importante, calida Agua, servicio de guardavidas en playa del hotel. Tranquila",5 años,maps,,,,,
Riviera Nayarit,5,Es una hermosa playa para largas caminatas.,6 años,maps,,,,,
Riviera Nayarit,4,"El agua es un poco revuelta, por lo que no se puede esperar encontrar agua cristalina.",3 años,maps,,,,,
Riviera Nayarit,2,"La playa es amplia pero con arena oscura. El agua es frÃ­a. Y verde, no muy transparente. Hay vendedores en la playa como en todo el caribe. ",2 años,maps,,,,,
Riviera Nayarit,4,"Muy lindo balneario mexicano sobre el PacÃ­fico, con mÃºltiples actividades para hacer. Linda splayas, clima agradable tood le año, gente muy atenta. Turismo bÃ¡sicamente norteamericano y canadiense, por tanto las personas tienden a hablar en inglÃ©s a todos los turistas",4 años,maps,,,,,
Riviera Nayarit,1,"Excelente playa , magnifico clima y sÃºper atenciÃ³n recomendable al 100%, la playa muy limpia y sÃºper segura",1 año,maps,,,,,
Riviera Nayarit,5,Las mejores playas y los mejores anocheceres. Vengan pronto a disfrutar estas platas magicas. No se las pierdan,5 años,maps,,,,,
Riviera Nayarit,4,"Playas excelentes sobre todo en meses cÃ¡lidos. Reserva natural de varias especies terrestres, aves, lagartos, ademÃ¡s de variados peces que invitan a la pesca. Reserva de tortugas por algunos resort que las protegen. Lo triste es la contaminaciÃ³n",3 años,maps,,,,,
Riviera Nayarit,5,Es una playa que en invierno tiene un muy buen clima y aunque las olas del mar son muy fuertes con precauciÃ³n lo puedes disfrutar mucho.,4 años,maps,,,,,
Riviera Nayarit,5,"excelente lugar, muy tranquila y limpia, se camina con toda calma disfrutando el atardecer, es todo un paisaje.",2 años,maps,,,,,
Riviera Nayarit,5,"Playa tranquila, suficientemente amplia para los visitantes y con espacio para caminar tranquilamente",6 años,maps,,,,,
Riviera Nayarit,5,"Una tarde relajada en la amplia playa con un mar fresco sin ser frÃ­o, la arena limpia, firme, de grano medio que no se calienta demasiado.",1 año,maps,,,,,
Riviera Nayarit,5,"En Mayan Palace, el servicio e intalaciones son geniales. La asesoria y servicio de Kimberly magnificos!",3 años,maps,,,,,
Riviera Nayarit,5,Tiene una increible vista . Personal dentro del hotel te ofrecen clases de surf. Hay salvavidas para la protecciÃ³n de los visitantes,5 años,maps,,,,,
Riviera Nayarit,5,"Una playa limpia con olas tranquilas, arena suave y puedes ver la puesta de sol, ideal para aprender a surfear",4 años,maps,,,,,
Riviera Nayarit,5,"Me gustÃ³ mucho la playa, se puede nadar sin problema, el oleaje es moderado y las zonas de nado estÃ¡n seÃ±aladas con boyas, la temperatura del agua es fresca y agradable.",2 años,maps,,,,,
Riviera Nayarit,5,Excelentes playas y tours que ofrecen en la ciudad y lugares cercanos que valen la pena visitar y pasar unas excelentes vacaciones,6 años,maps,,,,,
Riviera Nayarit,5,"Me agrado la playa es tranquila y hay muchas actividades para pasar el dÃ­a con niÃ±os, la arena es fina y en oleaje suave",1 año,maps,,,,,
Riviera Nayarit,5,"El agua del mar en el otoÃ±o es deliciosa, tibia. La arena es suave. Hay fauna diversa en la playa.",3 años,maps,,,,,
Riviera Nayarit,4,Nos gustÃ³ la playa por su limpieza y tambiÃ©n por la vigilancia. Un dÃ­a hubo oleaje un poco fuerte y constantemente daban advertencias. ,2 años,maps,,,,,
Riviera Nayarit,5,"Es una extensa y ancha playa de arena dorada y gruesa con mucha vida: tortugas, peces, delfines, pelÃ­canos y cangrejos entre los visitantes frecuentes. Mar cÃ¡lido como para baÃ±arse en cualquier momento del dÃ­a, un tanto mÃ¡s oscuro en Ã©poca de lluvias.",4 años,maps,,,,,
Riviera Nayarit,4,"Dado el apoyo del personal esto no resultÃ³ ser un problema, pero faltan rampas en algunos baños y restaurantes.",5 años,maps,,,,,
Riviera Nayarit,5,se puede caminar y baÃ±arse con toda confianza y seguridad hay vigilancia y salvavidas cuidando ademas de que esta muy limpia,6 años,maps,,,,,
Riviera Nayarit,1,"Playas y rÃ­os infestados de cocodrilos por Ã©poca de lluvias pero nadie les avisa a los turistas para no verse afectados en la compra de tours para snokelear, en Vidanta hay letreros avisando esto pero me parece mÃ¡s delicado de lo que se ve a simple vista.",3 años,maps,,,,,
Riviera Nayarit,5,Un lugar mÃ¡gico y hermoso para disfrutar tus vacaciones una de las playas mas seguras que ahÃ­ en Nuestro querido MÃ©xico. caminado por sus playas y sus alrededores se siente una sensaciÃ³n de estar viviendo un sueÃ±o....prÃ³ximamente en diciembre ahi estare ,2 años,maps,,,,,
Riviera Nayarit,5,"Playas muy limpias, seguras y tranquilas salvavidas pasan hacer vueltas de vigilancia si tiebes suerte tienes experiencias con las tortugas cuando salen a depositar sus huevos a mi me toco en general muy bien",4 años,maps,,,,,
Riviera Nayarit,5,"Muy bonita para la familia, no muy recomendable si lo que se quiere es ir de fiesta con gente joven ya que no permiten entrada de bebidas alcohÃ³licas ",1 año,maps,,,,,
Riviera Nayarit,5,"Playa muy limpia, estÃ¡ promoviendo mucho la ecologÃ­a en toda la zona. Oleaje supertranquilo. Agua templadaFabulosa experiencia",5 años,maps,,,,,
Riviera Nayarit,5,Es un destino que seguramente volverÃ© a visitar,3 años,maps,,,,,
Riviera Nayarit,5,Mil veces irÃ­a es relajada hermosa y tiene muchos hoteles de lo mejor a su alrededor se disfruta mucho el caminar en un lindo atardecer por tanta tranquilidad,4 años,maps,,,,,
Riviera Nayarit,5,"Hermosas playas, mar tranquilo, arena suave, y hermosos atardeceres. Muy recomendable para descansar y si te gusta el reventÃ³n Puero Vallarta esta muy cerca.",2 años,maps,,,,,
Riviera Nayarit,5,"La mejor playa para mi gusto, con mucha historia y creciendo cada dÃ­a mÃ¡s. Tiene mucha variedad de hoteles para todo los gustos, asÃ­ como muchas opciones de comida y aventuras. ",6 años,maps,,,,,
Riviera Nayarit,5,De las mejores en la Riviera nayarit. Muy tranquilo el oleaje y la arena muy fina. El agua templada y casi cristalina.,1 año,maps,,,,,
Riviera Nayarit,5,"Una linda playa muy limpia y tranquila, el agua templada y muy adecuada para que los niÃ±os pasen un dÃ­a genial!!!",3 años,maps,,,,,
Riviera Nayarit,5,"Vayan al paseo por la noche al barco pirata la pasamos muy bien bebida y alimento excelente. Buen ambiente , gracias ",5 años,maps,,,,,
Riviera Nayarit,5,"Sinceramente, de las poquitas playas que pude visitar Ã©sta es la mejor. La arena es suave, brillante, hermosa y pÃºblica. Puedes llevar tu propia comida y bebidas, la Ãºnica condiciÃ³n es que no metan bebidas alcohÃ³licas y vidrio. La playa es completamente plana y tranquila y los atardeceres se ven preciosos.",4 años,maps,,,,,
Riviera Nayarit,3,Muy limpia y ordenada la playa caminar temprano es encontrar la hermosa naturaleza del lugar pues hay muchas aves peces y nos toco ver nacimiento dÃ© tortugas.,2 años,maps,,,,,
Riviera Nayarit,5,El hotel Marival Resort & Suites el mejor mucha diversidad en alimentos y diversion ademas todos los empleados muy cheveres,6 años,maps,,,,,
Riviera Nayarit,3,Nos encantÃ³ la playa!! De las mejores del mundo!!! TenÃ­a 16 años que no Ã­bamos a Nuevo Vallarta y nos fascinÃ³!! Ideal para ir con niÃ±os!!!,1 año,maps,,,,,
Riviera Nayarit,5,"en esta ocasiÃ³n el oleaje fue demasiado alto y constante, muy divertido al esquivarlas pero cansado por lo que practicamente fue imposible descansar o mantenerse flotando como relajamiento.",3 años,maps,,,,,
Riviera Nayarit,5,"Una playa muy tranquila, limpia, los atardeceres hermosos y practica para una buena caminata, es la segunda favorita.",2 años,maps,,,,,
Riviera Nayarit,4,"Inigualable playa, solo faltan servicios de sanitarios, hasta ahora los provee con un costo de 20 pesos el RESTAURANTE ETCÃ‰TERA lo cual me parece irracional, gobierno de Nayarit poner atenciÃ³n, el turismo lo merece por la derrama econÃ³mica a nuestra regiÃ³n.",4 años,maps,,,,,
Riviera Nayarit,5,"Amplia playa, tienes la oportunidad de disfrutar el delta del rio donde se une con el mar.. maravilloso escenario para nadar o flotar",5 años,maps,,,,,
Riviera Nayarit,5,"El atardecer en estas playas es impresionante , irreal , me fascino, el malecÃ³n es especialmente bonito y la plata estÃ¡ limpia y tranquilo oleaje ",6 años,maps,,,,,
Riviera Nayarit,5,"El atardecer en estas playas es impresionante , irreal , me fascino, el malecÃ³n es especialmente bonito y la plata estÃ¡ limpia y tranquilo oleaje ",3 años,maps,,,,,
Riviera Nayarit,4,si bien no tiene el color turquesa de otras playas y la arena no es blanca el agua es tibia y lo mas importante no tiene algas,2 años,maps,,,,,
Riviera Nayarit,3,"como viajeros amantes de las playas, extraÃ±amos el color del mar y la calidad de la arena. En la Ã©poca que fuimos (principio de mayo), hay mucho viento despuÃ©s del mediodÃ­a",4 años,maps,,,,,
Riviera Nayarit,5,"Nosotros fuimos con niÃ±os pequeÃ±os a esta playa, no sÃ© si siempre estÃ© asÃ­ pero el mar estaba sÃºper tranquilo, de hecho los niÃ±os estuvieron prÃ¡cticamente solos en la playa con nosotros vigilando a la distancia, el oleaje muy calmado, todo tranquilo",1 año,maps,,,,,
Riviera Nayarit,5,Una playa muy agradable arena bien blanca poco pendiente con una buena palapa coco beach vestuarios banos y alberca. Acesible en camion de la ciudad. Genial.,5 años,maps,,,,,
Riviera Nayarit,5,"muy limpia la playa, muy bonitos paisajes, la arena muy limpia tambien, la marea un poco fuerte pero muy rica, fresca y agradable",3 años,maps,,,,,
Riviera Nayarit,5,"El mejor atardecer que he visto, sÃ³lo con unos minutos de diferencia lo ves a diferentes tonos, fotos desde el malecÃ³n ",4 años,maps,,,,,
Riviera Nayarit,5,"Su mar es calmado excelente, no es muy hondo excelente para ir con niÃ±os, una vista espectacular, mucha seguridad tanto vigilancia como apoyos mÃ©dicos ",2 años,maps,,,,,
Riviera Nayarit,5,Mucho espacio de playa entre los hoteles y el mar. Muy limpia de acceso exclusivo desde los hoteles y Departmentos (no encontrÃ© un area de acceso pÃºblico). No hay piedras. Oleaje tranquilo. El agua frÃ­a en abril ,6 años,maps,,,,,
Riviera Nayarit,5,Las playas son fabulosas. Arena blanca. EstÃ¡n muy limpias y el mar estÃ¡ a una temperatura ideal para no querer salir de ahÃ­. ,1 año,maps,,,,,
Riviera Nayarit,5,"Las playas de Nayarit a mi juicio superan a las de Puerto Vallarta, Jalisco. Tanto por su oleaje como por su higiene.",3 años,maps,,,,,
Riviera Nayarit,5,"Playa limpia, tranquila, arena fina, agua fria aÃºn al inicio de la primavera, bellos paisajes, opciones de paseos.",5 años,maps,,,,,
Riviera Nayarit,5,"al vez no sea la playa blanca del Caribe, pero vale al pena. Con olas pequeÃ±as, arena dorada y un ambiente familiar; esta playa es ideal para relajarse.",4 años,maps,,,,,
Riviera Nayarit,5,"Hermosas y extensas playas, el mar puede ser un poco mas bravo que en otras playas de la region pero esto no lo quita su encanto acompalado de los mejores atardeceres. Nuevo Vallarta y sus playas de verdad enamoran",2 años,maps,,,,,
Riviera Nayarit,4,Por muchos años hemos estado acudiendo a nuevo Vallarta solo que es mejor ir en temporada baja ya los hoteles de llenan y es difÃ­cil el encontrar palapas o en dÃ³nde sentarse un rato agradable,6 años,maps,,,,,
Riviera Nayarit,5,"Extensa playa con tumbonas muy cÃ³modas, a pasos baños y un comedor con vista al mar con excelente menÃº. ",1 año,maps,,,,,
Riviera Nayarit,4,"Playa tranquila para los niÃ±os, hay vigilancia y seguridad, en general muy tranquila y agradable. Bonita vista.",3 años,maps,,,,,
Riviera Nayarit,5,"Muy bonito lugar para conocer,tiene un malecÃ³n con varios restaurantes,bares y tiendas,nada como sentarse a comer unos mariscos ala orilla de la playa,un lugar que si duda te enamorara,vuelvo porque vuelvo!",2 años,maps,,,,,
Riviera Nayarit,5,"Excelente playa para relajarse y disfrutar con la familia, hay buenos restaurantes cerca y en esta Ã©poca el clima es fabuloso, te recomiendo llevar tus bebidas y equipo de playa",4 años,maps,,,,,
Riviera Nayarit,5,"La playa tiene una larga extension recorriendo varios kilÃ³metros, con un acceso cÃ³modo a las aguas calidas del Pacifico, con oferta de artesanos que la recorren ofreciendo sus productos(vestidos, joyas en plata, cuencos, etc).",5 años,maps,,,,,
Riviera Nayarit,5,"Frente a la playa podemos encontrar gran variedad de locales con souvenirs, artesania, comida etc. Desde ahi se puede ir a conocer la catedral.",6 años,maps,,,,,
Riviera Nayarit,4,Las playas son amplias y el mar tiene buen oleaje y con buena temperatura. Siempre estÃ¡n muy limplas,3 años,maps,,,,,
Riviera Nayarit,5,"RiquÃ­simo clima, playa sÃºper limpia, oleaje tranquilo, pasan mucho vendedores de alimentos lo cual estÃ¡ padre para no tener que llevar cargando, ademas hay palapa y restaurant, Baños y regaderas en la entrada norte a lado de marival. Lo gozamos mucho. ",2 años,maps,,,,,
Riviera Nayarit,5,"Oleaje moderado para todas las edades, agradable y muy limpia, vale la pena cuidarla para que continue asÃ­, en cuanto a variedad de Restaurantes faltan mas opciones.",4 años,maps,,,,,
Riviera Nayarit,5,"Esta increÃ­ble la Olaya muy tranquila para nadar y con espacio amplio para jugar, puedes andar tranquilamente y es muy segura para poder star ahÃ­ y dejar tus cosas y nadie te roba las cosas que dejas ",1 año,maps,,,,,
Riviera Nayarit,4,"buena playa con arena fina a diferencia de otras playas de mexico, y muy limpia, se nota que cuidan la limpieza",5 años,maps,,,,,
Riviera Nayarit,5,"Muy bella playa donde se puede ver el atardecer, te puedes meter y hay olas suaves y no estÃ¡ muy profundo, solo que el agua estaba frÃ­a",3 años,maps,,,,,
Riviera Nayarit,5,Vacaciones de ensueÃ±o ,4 años,maps,,,,,
Riviera Nayarit,5,Muy bonita vacaciÃ³n navideÃ±a los niÃ±os corriendo olas tranquilas y playas limpias,2 años,maps,,,,,
Riviera Nayarit,5,"Los colores naranjas al meterse el sol quitan el aliento, es de verdad una delicia observarlo!! Es muy tranquilizante ",6 años,maps,,,,,
Riviera Nayarit,5,"Playa limpia y relajante, ideal para darse un chapuzÃ³n refrescante y divertido por sus olas juguetonas y sin embargo nada peligrosas, o para tomar una agradable siesta en uno de sus camastros a la sombra de una de sus palapas arrullado por el sonido del mar y al mismo tiempo refrescado por su brisa. ",1 año,maps,,,,,
Riviera Nayarit,5,"La ciudad muy bonita y limpia, muy recomendable para el turismo extranjero y para nacionales tambiÃ©n.",3 años,maps,,,,,
Riviera Nayarit,5,"La playa es muy bonita y el mar muy tranquilo, puedes apreciar magnÃ­ficos atardeceres, la arena es muy fina y puedes caminar largas extensiones, ",5 años,maps,,,,,
Riviera Nayarit,5,"Solo un pero, auque las aguas son muy limpias, el oleaje impide que sean cristalinas. Pues el movimiento de la arena, con particulas negras de origen volcÃ¡nico, hacen que no parezca lo que es. Sea aguas muy limpias",4 años,maps,,,,,
Riviera Nayarit,4,Las olas son agradebles y la playa es limpia y la arena clara el hotel es muy cerca de la playa. Eso si el bloqueador porque el sol esta en todo su explendor. Se ven los barcos y tiene buena vista. La comida en la laguna esta increible ,2 años,maps,,,,,
Riviera Nayarit,5,Es una playa muy bonita con agua tibia bueno eso me toco en el mes de Octubre deliciosa para nadar y ver un atardecer increÃ­ble para los que nos gusta la naturaleza claro esta.,6 años,maps,,,,,
Riviera Nayarit,5,Playa virgen donde se une el lago y el mar increible. Muy limpia y tranquila. La arena pareciera que tiene diamantina dorada. ,1 año,maps,,,,,
Riviera Nayarit,5,"Magnifica Playa cerca del hotel en el que nos hospedamos , segura y tranquila , el mejor horario despuÃ©s de las 5 pm sin tanto sol y el nivel seguro para los niÃ±os , pude disfrutar con mis hijos .",3 años,maps,,,,,
Riviera Nayarit,5,La playa muy limpia y segura con una gran variedad de actividades a realizar ademas de descansar en ese paraiso,2 años,maps,,,,,
Riviera Nayarit,5,El amanecer muy padre. Y muy tranquila mucha tranquilidad. Y a unos pasos esta el santuario de las tortugas puedes encontrarte con muchas en el camino,4 años,maps,,,,,
Riviera Nayarit,5,"Pasamos por el acceso pÃºblico a la playa, todo muy limpio , hay regaderas , cuentan con un mirador hermoso, la playa es muy muy tranquila y la arena muy limpia, si solo vas de ida por regreso como nosotros, te recomiendo llevar toallas y otro cambio para que puedas pasar a cenar a algÃºn restaurante, los taxis cobran 250 por llevarte y regresarte al puerto, uber 185.",5 años,maps,,,,,
Riviera Nayarit,5,Para mi es una de las mejores playas donde puedes encontrar variedad de hoteles con muy buenos servicios a parte de que sus actividades terminan a una hora apropiada para no molestar a sus huÃ©spedes y descansar bien para seguir disfrutando de tus vacaciones ,6 años,maps,,,,,
Riviera Nayarit,5,"Me encanto, muy linda las aguas calidas, lo que mÃ¡s me gustÃ³ fue recorrer hasta el final me sorprende como va cambiando la arena y las Agus muy hermoso todo",3 años,maps,,,,,
Riviera Nayarit,5,"lugar tranquilo ,clima agradable, la calidez de su gente ,y sobre todo un buen lugar para descansar , los dÃ­as se pasan muy rÃ¡pidos pero si vale la pena te lo recomiendo.",2 años,maps,,,,,
Riviera Nayarit,5,"playa tranquila, alas altas pero no impide poder meterse, arena suave y blanca se agradece tanta tranquilidad, no tiene piedras por lo que su acceso la hace facil",4 años,maps,,,,,
Riviera Nayarit,5,"Es una playa limpia, sin grandes olas la mayoria del tiempo, a veces te encuentras con el agua ""revueta"" y puede no ser la mejor experiencia. ",1 año,maps,,,,,
Riviera Nayarit,4,"Muy buena plata  Buenas olas  algo turbia el agua dado que es Ã©poca de lluvia, igual te puedes ver los pies o hacer snorkel",5 años,maps,,,,,
Riviera Nayarit,5,La Playa es hermosa. Puedes caminar en ella largos senderos por ena arena dorada. El mar tiene olas mas o menos fuertes yo no entre.,3 años,maps,,,,,
Riviera Nayarit,5,"El lugar es muy bonito lo malo esque no ahy mucha sombra, es necesario llevar una paragua propia. Pero la arena es muy bonita y la profundidad adecuada para la familia",4 años,maps,,,,,
Riviera Nayarit,5,"La playa estÃ¡ dorada, muy diferente y suave, pero el mar se ve cafÃ© porque se une con un lago, prefiero el mar de Vallarta, me da la sensaciÃ³n de suciedad que estÃ© cafÃ© ",2 años,maps,,,,,
Riviera Nayarit,5,"me encanta playa sin rocas y muy bonita , con unos espectaculares atardeceres y se puede nadar muy bien ",6 años,maps,,,,,
Riviera Nayarit,5,En esta ocasiÃ³n la playa de Vallarta estaba tibia y con unos paisajes espectaculares me encanta ir por ejemplo fui a las islas Marietas y es lugar espectacular ,1 año,maps,,,,,
Riviera Nayarit,5,"Nos hospedamos en el hotel Hard Rock Vallarta, en ese lugar la playa estÃ¡ muy bien, la arena es fina color beige, y curiosamente al contacto con el agua del mar, se vuelve negra. Por momentos pareciera que es lodo pero es arena fina, y el mar es oscuro.",3 años,maps,,,,,
Riviera Nayarit,5,"Hermosa playa! El agua limpia, la playa con su arena muy bonita, el mÃ¡s muy agusto, olas muy padres y tranquilo, recomendable para excelentes vacaciones, me encanto ",5 años,maps,,,,,
Riviera Nayarit,5,Mantarrayas! Si caminan lejos del club de playa pueden llegar a verlas en la orilla y en las olas. Son muy bellas excepto si las pisas y te pican. Recuerden que somos nosotros invadiendo su espacio y no al revÃ©s. ,4 años,maps,,,,,
Riviera Nayarit,5,"La playa tranquila, pueden mejorar en la limpieza, el oleaje bastante rico para la familia y los chicos. En general me parece agradable.",2 años,maps,,,,,
Riviera Nayarit,5,Si se quiere visitar Puerto Vallarta la mejor opciÃ³n es elegir una playa de nuevo Vallarta ,6 años,maps,,,,,
Riviera Nayarit,5,"La arena es mÃ¡s fina y el oleaje no es tan alto. Es apto para estar con precauciÃ³n con los niÃ±os, difÃ­cilmente rebasa el mar la altura de las rodillas.",1 año,maps,,,,,
Riviera Nayarit,5,La playa estÃ¡ muy limpia y de poco oleaje los niÃ±os se pueden meter con la supervisiÃ³n de un adulto.,3 años,maps,,,,,
Riviera Nayarit,5,"El Ãºnico detalle es que tienes que alejarte un poco para poder baÃ±arte, por las rocas que se encuentran a la orilla. Por lo demÃ¡s es una playa bonita.",2 años,maps,,,,,
Riviera Nayarit,5,Arena fina y dorada. Playa amplÃ­sima. Poca pendiente que te permite caminar tranquilo por la playa y meterte al mar 100 metros.,4 años,maps,,,,,
Riviera Nayarit,5,"Una playa muy bella, sin piedras, se puede disfrutar de sus olas que son tranquilas, la recomiendo ampliamente.",5 años,maps,,,,,
Riviera Nayarit,5,"Las playas de Nuevo Vallarta son seguras en general, no son profundas y cuentan con guardavidas, cuentan con servicios cercanos y clubes de playa asÃ­ como acceso libre",6 años,maps,,,,,
Riviera Nayarit,5,"Muy buena la playa del hotel, con diferentes actividades para todas las edades las albercas e instalaciones de primero pero lo mejor la armonÃ­a y buen trato de todos los empleados ",3 años,maps,,,,,
Riviera Nayarit,5,"La playa de la rivera de nayarit sin duda la mejor, si quieres una playa limpia, sin piedras, de oleaje tranquilo los mejores hoteles esta es la playa a elegir, facil de llegar, desconozco si hay acceso libre o solo mediante los hoteles pero si quieres playa no vayas a puerto vallarta donde esta lleno de rocas que te lastiman los pies",2 años,maps,,,,,
Riviera Nayarit,5,"Nuevo Vallarta te ofrece una playa muy amplia, segura, obvio con precauciones, y un ambiente tranquilo y a la vez divertido ",4 años,maps,,,,,
Riviera Nayarit,5,"Es una playa donde hay poca gente. Las olas son altas (habÃ­a algunos sufre ando) y la arena se calienta muy rÃ¡pido. Recomiendo llevar comida y bebida, ya que no hay puestos por la zona.",1 año,maps,,,,,
Riviera Nayarit,5,"La playa estÃ¡ sumamente limpia y hay poca gente, eso a mi me agrada mucho, los meseros son muy atentos, aunque creo qu las palapas deberÃ­an estar unos 7 metros mÃ¡s cerca del mar, y tiene que haber mÃ¡s",5 años,maps,,,,,
Riviera Nayarit,5,Es una excelente playa muy limpia y es lo mejor de las mejores playas que he visitado y muy tranquila ,3 años,maps,,,,,
Riviera Nayarit,5,"No creo exagerar. Si la tomas en la marina de Nuevo Vallarta, junto al Paradise, probablemente puedes caminar 15 o mÃ¡s kms por playas preciosas.",4 años,maps,,,,,
Riviera Nayarit,5,La playa es muy plana y te puedes meter 50 o mÃ¡s metros casi en todas partes y el agua sigue llegÃ¡ndote a la cintura. ,2 años,maps,,,,,
Riviera Nayarit,5,Bonita plata agradable y AgustÃ­n para caminar hermosa gusta clima agradable y de todo tipo de turismo ,6 años,maps,,,,,
Riviera Nayarit,5,"playas tranquilas, limpias, sin piedras, sin muchos vendedores ambulantes, atardeceres paradisiacos. ",1 año,maps,,,,,
